Iteration	AverageCost	StdCost	MinimumCost	MaximumCost	AverageReturn	StdReturn	MinimumReturn	MaximumReturn
76	292344.66354145756	70527.80697035781	126300.44816638595	398736.3992416802	-37.58436740732141	18.31146735412173	-75.12331090165748	-12.266200499577959
77	214033.80898966495	105513.64101530622	9.452041838725194	410946.5071196295	-32.18795505533346	18.391723082142136	-55.41479490675096	10.0
78	271293.6466598821	91863.01475034571	122111.04691242587	422224.00169097865	-43.967301604926625	8.731328254054793	-60.709624278819405	-31.17000701349538
79	303130.7716017671	103322.95639354718	137680.75475804394	457474.33187630685	-43.393109698513406	12.59345464061889	-66.13833089852346	-21.99281602908953
80	282191.17680319806	107070.91088367678	116117.84656246031	536998.8217267938	-47.13117818782312	15.69712013801121	-74.61392606156727	-26.386409877673067
81	366326.162759954	121752.56170911326	197890.0510769897	588417.8178226262	-35.81870200907441	8.69800764043325	-46.73739064702881	-19.95952012666005
82	312814.83717675856	109825.55052484965	176286.4780565013	511245.8137021346	-43.3153141398398	11.537574283923108	-57.533417335076614	-24.127774612914052
83	305493.0808413691	108145.10967864467	191556.79476387944	530587.0592130221	-42.726541629555385	18.689779967686302	-76.94410297231914	-16.891916401999058
84	279554.0362543974	142549.584242884	100255.36111516098	538701.4884064784	-45.28371118934734	13.785549341778063	-65.95411757245216	-25.445531047407187
85	278153.2005898699	79273.65048811721	181562.59051919787	434555.16704458836	-38.431122432612085	18.04747212101798	-64.54010078430176	-9.937422258198342
86	285320.68894236063	107156.22655625502	141058.0788715051	462310.8771034881	-52.840438366951915	19.020732104548266	-101.38990746991047	-31.935711990974447
87	254056.30841223142	84868.1643190166	131513.47649799183	379719.8701100727	-47.22503593550302	18.373705241759055	-89.50656319881308	-25.993947226403883
88	261712.82329791255	103502.58734613223	150834.27816322545	497930.17870755354	-42.2954652455009	13.045121768744258	-62.982236565380454	-19.339141489724355
89	300675.70641752216	88647.49760360058	200701.10888376166	464626.40170396946	-48.227222692920826	12.976004930972467	-69.5489068423777	-25.207357629777654
90	257752.0878095625	99158.8028751926	123905.5916742037	394101.4802446414	-41.06994007395481	20.17698357890213	-81.14178865719629	-12.524378190937913
91	275499.7632223406	76181.4731254008	149300.33467287425	450070.2946806666	-39.066372569215204	11.082778539817044	-56.1651625517963	-17.39535172012479
92	315624.8994962038	93170.27118763117	202781.90713120415	484099.6050469946	-46.10771264257581	10.549523202015822	-66.81850610737894	-25.32724645247558
93	253033.70564068868	103004.01147007514	111276.53021496056	500029.9511314144	-39.04569059493464	9.861667114899461	-53.96697788628002	-23.28342977374558
94	403762.7279741139	230354.69600169797	125577.10847401615	943521.5042443305	-54.670828602903796	18.4712328563222	-100.04621392265858	-27.621950380355713
95	405352.8119297967	149340.23191458537	209129.42584340865	654456.2363327823	-50.124449958576534	13.438297484132626	-69.2805039730732	-27.46627832173355
96	319847.38992667367	131043.79015456756	108738.44630779352	552941.7198758848	-40.54548003353411	11.79236402578985	-65.05506260221816	-24.880545818824167
97	321397.2240407568	68397.59335299084	163339.61462287413	415620.36639144405	-46.21895927261643	17.015451496597876	-77.38916060947128	-15.755496879108783
98	319326.9184479773	172874.57501293783	104182.24032665431	706263.154812978	-43.76007697921139	16.66890743012249	-65.98181606418454	-20.16937526833636
99	274353.6955750397	72942.90654198846	184761.00829679056	422999.5410992048	-43.580765022740806	14.61906944181892	-65.8696042508202	-27.53020804173858
100	262873.2126376587	73672.96284152044	141489.7380971109	381077.236709568	-42.99982991896293	11.87265871075745	-66.32328976529395	-19.18128059281227
101	298074.7919438938	90541.90946549943	171840.8235420851	457318.220770205	-40.23791279961744	18.330427200805605	-64.60816915591892	-9.430813351602227
102	287450.6418929218	103276.50200157588	104752.37624033356	437053.78087609867	-45.826007275078354	13.913913990928645	-64.5327024571136	-22.517015222494315
103	315393.07626423996	185482.8007668414	92617.55594962413	804359.9736274445	-45.02929325841089	14.02926799508327	-74.94625948333372	-21.997353142815648
104	310465.7613633165	64300.28013483658	199196.39371369086	436918.205042248	-45.72650168653216	10.53493716281298	-64.52288330898517	-26.657247030746394
105	311373.6855499969	62769.763074648225	196106.81637996118	410300.4131786742	-54.41614539005409	12.937483958384458	-72.3116378195056	-33.2735826560712
106	318794.52084426174	104146.77651495453	151889.0029365795	505722.1950823	-48.68232999005589	11.408235974544441	-61.85801820160672	-28.158874726321724
107	288902.57028855744	90431.47856194372	190633.12782297103	457406.43945107464	-51.09167152644137	20.08731274287254	-78.20931725668244	-17.67428311423798
108	257923.2169079914	77170.58353814727	103650.22348876632	390632.4991590292	-48.108695215736425	13.195541797778441	-64.29948960824106	-22.419251609097216
109	252719.31363738482	102705.86758712494	92674.71391762869	454288.32130455895	-46.911188770585184	19.77163125058441	-95.98859602324646	-15.643221225453754
110	279129.0297307057	82237.51121970438	117285.72768444705	422231.10969817615	-45.657741346881416	11.497606182436401	-67.41978330511748	-25.375245954486644
111	244660.07342907615	70856.83068383479	143603.69844951248	369673.2892002012	-50.31241299296923	17.137899673749658	-84.84782319559342	-20.168666620267892
112	266015.0793773006	97204.11476583823	117598.63577455051	488385.45584920753	-36.79046290708008	14.464611929700899	-69.58381318148119	-19.637825184475943
113	311623.4161591394	102264.95120171121	128355.32235799196	513812.61656747526	-51.81090623368914	11.121912986306667	-74.76837816380262	-28.36991489572128
114	295020.0911771369	66846.97436181444	228567.73851752776	433303.4609763492	-40.5306816861728	9.465181402058349	-55.57610022362642	-27.978377812232065
115	307170.20570897165	86798.94187537576	187862.91386459488	452814.2293385633	-49.99180874785525	18.103342076384884	-85.32427479410681	-24.248341773895927
116	285490.7357534745	91598.37726964922	177664.14868710903	520776.25410804525	-39.00004051553215	20.24632761925418	-89.98929552989898	-21.126226590038886
117	284990.8459790818	130568.00648426345	124586.02952946747	496556.22363095224	-46.72038588920201	18.744839147697846	-87.93339552309455	-25.137666663030124
118	293871.02363843215	57263.34553447081	211745.50968210684	402408.1274384676	-44.291537954759775	11.700880083575111	-61.20769289224867	-23.116527944688777
119	320653.48556437873	93833.8890654119	185841.29647829273	516167.62694435765	-47.21130982743781	15.421696819384316	-72.34103218565721	-26.473499265463794
120	343209.3099303808	122870.60556556087	168617.01099383194	595314.0154847425	-42.67167015287994	16.942645924747225	-74.81628714716747	-21.84648698147342
121	288960.27971059014	106690.651856057	111075.03117023248	411866.47458155715	-44.38288978834655	13.156630088205148	-68.81987852075162	-29.509886267985983
122	290082.8384604462	29245.39125321015	254578.9943051221	344854.82153377077	-45.5598905659725	18.275867882956973	-73.85767738518244	-18.87070557744852
123	303804.230141125	129325.87377962243	111100.76952225054	509245.5350562399	-46.77857065655071	14.792259608392637	-74.02529604132215	-17.956655977058386
124	271679.4763776019	127017.37258477623	111459.01670868893	576565.0747693186	-47.343407067325316	14.409543087059161	-70.1142940519138	-23.723154761636163
125	265820.50142947177	49831.55768310522	194166.79562021804	340517.5949520678	-44.89515568689562	16.041317802032662	-75.96242175734945	-25.00429966701025
126	295869.73006433435	116382.4734545713	44545.366672780336	426118.4734263498	-46.47753283891994	16.00954535851733	-66.47923001196057	-17.412272099290195
127	240432.27505214288	78033.76219734558	120099.833247829	396798.4785309462	-46.300367602023826	23.150688411393293	-92.8702157841861	-16.98971589041967
