Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	LossV	Time
3600	-16.369623	14.944624	53.28002	-47.644207	-9.924388	1.2134264	-8.737312	-13.014843	57.59	42.9	11	-5.3225975	10.437017	28.31093	-42.99178	-5.3223777	10.43624	28.345652	-44.353455	-4.9872136	10.45021	28.755945	-43.3511	-2.6730762	0.3900402	0.87552786	-7.9080057	4.7582307	0.5931782	0.6033057	0.081444085	11755.194366693497
3700	-17.667574	10.542358	21.03428	-40.549435	-13.339201	1.1011857	-11.128654	-15.729901	49.05	39.1	20	-5.3477855	10.509946	28.715693	-43.245747	-5.347661	10.509265	28.461365	-43.3241	-5.0123982	10.523421	28.957157	-43.090355	-2.6797655	0.37735856	0.2516675	-9.93189	4.7848845	0.6032051	0.6125379	0.08215002	11978.034987449646
3800	-16.781199	9.567785	14.109922	-37.398624	-17.355204	0.68824756	-16.057835	-18.52625	43.88	35.8	50	-5.389389	10.537702	29.600292	-42.20668	-5.388964	10.536676	29.510656	-42.87035	-5.0515637	10.5488205	29.973545	-42.411263	-2.6824608	0.36704758	0.42993736	-8.079367	4.8253508	0.5912792	0.6019569	0.08290964	12179.465297937393
3900	-13.451034	10.043779	19.696043	-34.703175	-17.051369	5.7025948	-0.0037967213	-19.774681	50.13	40.0	12	-5.3087473	10.522053	29.902822	-42.293816	-5.3085947	10.521222	29.432104	-42.329792	-4.9695816	10.532926	29.82583	-42.286232	-2.6877425	0.35768554	0.28365707	-8.691842	4.7458463	0.5756988	0.585115	0.07995088	12407.553995370865
4000	-14.960516	10.548076	11.933265	-36.325916	5.773486	5.225988	9.296711	-9.508543	59.53	48.8	72	-5.3023977	10.543301	30.226685	-41.658024	-5.302429	10.54284	30.130474	-42.25924	-4.9621224	10.551494	30.659527	-41.441864	-2.6945806	0.34834847	0.34181595	-8.640099	4.741291	0.5623385	0.57251495	0.08082808	12676.187255620956
4100	-15.176075	12.281415	50.440628	-37.84043	15.032603	10.857538	20.107569	-17.374067	54.59	50.1	53	-5.2780104	10.529767	29.910578	-41.783955	-5.2780514	10.529216	30.062452	-41.105	-4.9370737	10.5382	29.973097	-41.56035	-2.7000444	0.3350839	0.7882252	-8.468023	4.7183595	0.5855498	0.5968096	0.08089419	12924.94992017746
4200	-12.84606	12.710574	22.069166	-50.519184	10.55154	7.7153287	14.370987	-12.478057	52.84	51.3	72	-5.127341	10.606061	30.201286	-40.999428	-5.1274366	10.605669	30.658976	-41.14977	-4.7858415	10.614957	31.242054	-40.7819	-2.7027836	0.32539484	0.4036169	-8.668095	4.568186	0.5719105	0.5818031	0.07903117	13167.559170722961
4300	-15.582318	9.647605	7.054611	-32.454117	-13.914061	0.83054596	-13.266861	-16.270308	58.83	17.1	68	-5.071809	10.706701	31.075981	-41.261612	-5.0718036	10.705988	31.357367	-41.315	-4.7262344	10.716263	31.45676	-41.176666	-2.709262	0.31232527	0.11680317	-9.014341	4.5094843	0.56839997	0.5791585	0.080917425	13422.942889213562
4400	-15.821259	9.906671	9.516245	-38.1769	-9.908991	0.5611377	-9.108413	-10.743415	56.19	42.0	61	-5.056165	10.781304	31.411293	-41.7945	-5.056082	10.780244	31.288082	-41.10147	-4.710661	10.789093	31.991203	-42.17136	-2.7108216	0.3082032	0.19808054	-8.496162	4.4955983	0.56456333	0.57481146	0.080072284	13675.449577569962
4500	-17.992918	11.392828	13.2055235	-34.949486	-14.783214	8.966844	11.966093	-19.718739	50.75	28.3	61	-5.098956	10.773588	31.38791	-41.32104	-5.098868	10.773197	31.960388	-41.381454	-4.7530227	10.780789	32.18252	-40.99136	-2.7134836	0.3034611	0.11413288	-8.767354	4.5392036	0.55604196	0.5664603	0.07972573	13902.091266155243
4600	-20.963438	12.098355	21.09665	-44.113937	-13.67689	5.887119	3.9551816	-16.087173	51.61	18.9	79	-5.1095023	10.781007	31.826258	-41.08563	-5.109497	10.780388	32.183685	-40.979343	-4.7644753	10.787528	32.12467	-40.896645	-2.7141905	0.30342913	-0.05690956	-7.5617576	4.5507607	0.5580524	0.5682173	0.079556964	14135.377101421356
